country,dependency_ratio,birth_rate,death_rate,fertility_rate,net_migration,population_total,rural_population,urban_population,fertility_norm,dependency_norm,migration_norm,population_risk_score
Afghanistan,81.77357224,34.391,5.608,4.659,-74404,43844111,32470876,11373235,0.7564737242955065,0.7388903717917575,0.39518479460420314,1.587231852892048
Albania,52.04106334,9.898,8.634,1.33,-24230,2355297,968699,1386598,0.12261995430312263,0.3829658841089587,0.4122641772764624,1.8480817525293736
Algeria,58.05636499,18.034,4.645,2.67,-27531,47435312,11470458,35964854,0.37776085300837775,0.45497437707652477,0.4111405068056782,1.666073017262469
American Samoa,53.57845918,14.737,7.5,2.246,-1051,46029,8970,37059,0.29702970297029707,0.401369875,0.42015437959161167,1.6841857925643593
Andorra,39.23850792,6.854,6.223,1.096,843,82904,9161,73743,0.078065499,0.2297079470065119,0.42079910296988043,1.7308433451790535
Angola,88.6557825,36.624,6.759,4.953,-3524,39040039,11141406,27898633,0.8124523990860626,0.8212765292853758,0.41931256284691326,1.589511567
Antigua and Barbuda,42.46397193,11.577,7.128,1.577,12,94209,71285,22924,0.16964965727341963,0.2683196103935379,0.4205162280346421,1.6781537250854761
Argentina,50.71623395,11.081,7.791,1.505,2859,45851378,3506749,42344629,0.1559405940594059,0.36710650192601535,0.4214853555203503,1.7896805523462591
Armenia,50.21876449,11.833,9.372,1.713,-29013,3013103,1026603,1986500,0.19554455445544558,0.3611513515119062,0.41063602948435063,1.754970768
Aruba,52.16062424,9.458,9.997,1.605,111,108031,41323,66708,0.17498095963442498,0.3843971340657827,0.4205499279366741,1.7888662464946838
Australia,55.69683803,11.282,6.796,1.639,137109,27446304,3370607,24075697,0.18145468392993144,0.4267287477811191,0.467184465,1.7780895987571377
Austria,54.42098731,8.271,10.23,1.329,11254,9167205,2776268,6390937,0.12242955064737242,0.41145568369483426,0.4243430391320539,1.864683093915408
Azerbaijan,43.61388945,11.55,6.745,1.665,8731,10264010,4245492,6018518,0.1864051789794364,0.28208514244332317,0.4234842022348141,1.6721957612290725
