Country Name,Country Code,Series Name,Series Code,2025 [YR2025]
Afghanistan,AFG,Urban population,SP.URB.TOTL,11373235
Afghanistan,AFG,Rural population,SP.RUR.TOTL,32470876
Afghanistan,AFG,"Population, total",SP.POP.TOTL,43844111
Afghanistan,AFG,Number of infant deaths,SH.DTH.IMRT,..
Afghanistan,AFG,Net migration,SM.POP.NETM,-74404
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.608
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,34.391
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.659
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,81.77357224
Albania,ALB,Urban population,SP.URB.TOTL,1386598
Albania,ALB,Rural population,SP.RUR.TOTL,968699
Albania,ALB,"Population, total",SP.POP.TOTL,2355297
Albania,ALB,Number of infant deaths,SH.DTH.IMRT,..
Albania,ALB,Net migration,SM.POP.NETM,-24230
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.634
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.898
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.33
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,52.04106334
Algeria,DZA,Urban population,SP.URB.TOTL,35964854
Algeria,DZA,Rural population,SP.RUR.TOTL,11470458
Algeria,DZA,"Population, total",SP.POP.TOTL,47435312
Algeria,DZA,Number of infant deaths,SH.DTH.IMRT,..
Algeria,DZA,Net migration,SM.POP.NETM,-27531
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.645
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.034
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.67
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,58.05636499
American Samoa,ASM,Urban population,SP.URB.TOTL,37059
American Samoa,ASM,Rural population,SP.RUR.TOTL,8970
American Samoa,ASM,"Population, total",SP.POP.TOTL,46029
American Samoa,ASM,Number of infant deaths,SH.DTH.IMRT,..
American Samoa,ASM,Net migration,SM.POP.NETM,-1051
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.5
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.737
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.246
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,53.57845918
Andorra,AND,Urban population,SP.URB.TOTL,73743
Andorra,AND,Rural population,SP.RUR.TOTL,9161
Andorra,AND,"Population, total",SP.POP.TOTL,82904
Andorra,AND,Number of infant deaths,SH.DTH.IMRT,..
Andorra,AND,Net migration,SM.POP.NETM,843
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.223
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,6.854
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.096
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,39.23850792
Angola,AGO,Urban population,SP.URB.TOTL,27898633
Angola,AGO,Rural population,SP.RUR.TOTL,11141406
Angola,AGO,"Population, total",SP.POP.TOTL,39040039
Angola,AGO,Number of infant deaths,SH.DTH.IMRT,..
Angola,AGO,Net migration,SM.POP.NETM,-3524
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.759
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,36.624
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.953
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,88.6557825
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,22924
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,71285
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94209
Antigua and Barbuda,ATG,Number of infant deaths,SH.DTH.IMRT,..
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,12
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.128
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.577
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.577
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),SP.POP.DPND,42.46397193
Argentina,ARG,Urban population,SP.URB.TOTL,42344629
Argentina,ARG,Rural population,SP.RUR.TOTL,3506749
Argentina,ARG,"Population, total",SP.POP.TOTL,45851378
Argentina,ARG,Number of infant deaths,SH.DTH.IMRT,..
Argentina,ARG,Net migration,SM.POP.NETM,2859
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.791
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.081
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.505
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,50.71623395
Armenia,ARM,Urban population,SP.URB.TOTL,1986500
Armenia,ARM,Rural population,SP.RUR.TOTL,1026603
Armenia,ARM,"Population, total",SP.POP.TOTL,3013103
Armenia,ARM,Number of infant deaths,SH.DTH.IMRT,..
Armenia,ARM,Net migration,SM.POP.NETM,-29013
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.372
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.833
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.713
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,50.21876449
Aruba,ABW,Urban population,SP.URB.TOTL,66708
Aruba,ABW,Rural population,SP.RUR.TOTL,41323
Aruba,ABW,"Population, total",SP.POP.TOTL,108031
Aruba,ABW,Number of infant deaths,SH.DTH.IMRT,..
Aruba,ABW,Net migration,SM.POP.NETM,111
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.997
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.458
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.605
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,52.16062424
Australia,AUS,Urban population,SP.URB.TOTL,24075697
Australia,AUS,Rural population,SP.RUR.TOTL,3370607
Australia,AUS,"Population, total",SP.POP.TOTL,27446304
Australia,AUS,Number of infant deaths,SH.DTH.IMRT,..
Australia,AUS,Net migration,SM.POP.NETM,137109
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.796
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.282
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.639
Australia,AUS,Age dependency ratio (% of working-age population),SP.POP.DPND,55.69683803
Austria,AUT,Urban population,SP.URB.TOTL,6390937
Austria,AUT,Rural population,SP.RUR.TOTL,2776268
Austria,AUT,"Population, total",SP.POP.TOTL,9167205
Austria,AUT,Number of infant deaths,SH.DTH.IMRT,..
Austria,AUT,Net migration,SM.POP.NETM,11254
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.23
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.271
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.329
Austria,AUT,Age dependency ratio (% of working-age population),SP.POP.DPND,54.42098731
Azerbaijan,AZE,Urban population,SP.URB.TOTL,6018518
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,4245492
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10264010
Azerbaijan,AZE,Number of infant deaths,SH.DTH.IMRT,..
Azerbaijan,AZE,Net migration,SM.POP.NETM,8731
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.745
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.55
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.665
Azerbaijan,AZE,Age dependency ratio (% of working-age population),SP.POP.DPND,43.61388945
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,327790
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,75243
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,403033
"Bahamas, The",BHS,Number of infant deaths,SH.DTH.IMRT,..
"Bahamas, The",BHS,Net migration,SM.POP.NETM,935
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.88
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.67
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.364
"Bahamas, The",BHS,Age dependency ratio (% of working-age population),SP.POP.DPND,42.1322321
Bahrain,BHR,Urban population,SP.URB.TOTL,1622245
Bahrain,BHR,Rural population,SP.RUR.TOTL,0
Bahrain,BHR,"Population, total",SP.POP.TOTL,1622245
Bahrain,BHR,Number of infant deaths,SH.DTH.IMRT,..
Bahrain,BHR,Net migration,SM.POP.NETM,18128
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.221
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.926
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.784
Bahrain,BHR,Age dependency ratio (% of working-age population),SP.POP.DPND,28.92639356
Bangladesh,BGD,Urban population,SP.URB.TOTL,58397596
Bangladesh,BGD,Rural population,SP.RUR.TOTL,117289303
Bangladesh,BGD,"Population, total",SP.POP.TOTL,175686899
Bangladesh,BGD,Number of infant deaths,SH.DTH.IMRT,..
Bangladesh,BGD,Net migration,SM.POP.NETM,-402100
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.122
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.587
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.114
Bangladesh,BGD,Age dependency ratio (% of working-age population),SP.POP.DPND,52.23982804
Barbados,BRB,Urban population,SP.URB.TOTL,168725
Barbados,BRB,Rural population,SP.RUR.TOTL,113898
Barbados,BRB,"Population, total",SP.POP.TOTL,282623
Barbados,BRB,Number of infant deaths,SH.DTH.IMRT,..
Barbados,BRB,Net migration,SM.POP.NETM,-87
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.294
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.044
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.705
Barbados,BRB,Age dependency ratio (% of working-age population),SP.POP.DPND,51.86048886
Belarus,BLR,Urban population,SP.URB.TOTL,7213776
Belarus,BLR,Rural population,SP.RUR.TOTL,1860775
Belarus,BLR,"Population, total",SP.POP.TOTL,9074551
Belarus,BLR,Number of infant deaths,SH.DTH.IMRT,..
Belarus,BLR,Net migration,SM.POP.NETM,-3020
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.236
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,6.928
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.225
Belarus,BLR,Age dependency ratio (% of working-age population),SP.POP.DPND,51.91427293
Belgium,BEL,Urban population,SP.URB.TOTL,10411586
Belgium,BEL,Rural population,SP.RUR.TOTL,1463943
Belgium,BEL,"Population, total",SP.POP.TOTL,11875529
Belgium,BEL,Number of infant deaths,SH.DTH.IMRT,..
Belgium,BEL,Net migration,SM.POP.NETM,31989
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.837
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.606
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.39
Belgium,BEL,Age dependency ratio (% of working-age population),SP.POP.DPND,57.88991621
Belize,BLZ,Urban population,SP.URB.TOTL,175776
Belize,BLZ,Rural population,SP.RUR.TOTL,247148
Belize,BLZ,"Population, total",SP.POP.TOTL,422924
Belize,BLZ,Number of infant deaths,SH.DTH.IMRT,..
Belize,BLZ,Net migration,SM.POP.NETM,360
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.018
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.777
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.009
Belize,BLZ,Age dependency ratio (% of working-age population),SP.POP.DPND,45.98099485
Benin,BEN,Urban population,SP.URB.TOTL,7905293
Benin,BEN,Rural population,SP.RUR.TOTL,6909167
Benin,BEN,"Population, total",SP.POP.TOTL,14814460
Benin,BEN,Number of infant deaths,SH.DTH.IMRT,..
Benin,BEN,Net migration,SM.POP.NETM,-7847
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.633
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.046
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.416
Benin,BEN,Age dependency ratio (% of working-age population),SP.POP.DPND,79.89686428
Bermuda,BMU,Urban population,SP.URB.TOTL,64555
Bermuda,BMU,Rural population,SP.RUR.TOTL,0
Bermuda,BMU,"Population, total",SP.POP.TOTL,64555
Bermuda,BMU,Number of infant deaths,SH.DTH.IMRT,..
Bermuda,BMU,Net migration,SM.POP.NETM,-2
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.166
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,7.821
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.41
Bermuda,BMU,Age dependency ratio (% of working-age population),SP.POP.DPND,56.15868408
Bhutan,BTN,Urban population,SP.URB.TOTL,346000
Bhutan,BTN,Rural population,SP.RUR.TOTL,450682
Bhutan,BTN,"Population, total",SP.POP.TOTL,796682
Bhutan,BTN,Number of infant deaths,SH.DTH.IMRT,..
Bhutan,BTN,Net migration,SM.POP.NETM,455
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.036
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.346
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.436
Bhutan,BTN,Age dependency ratio (% of working-age population),SP.POP.DPND,36.96460192
Bolivia,BOL,Urban population,SP.URB.TOTL,9003957
Bolivia,BOL,Rural population,SP.RUR.TOTL,3577886
Bolivia,BOL,"Population, total",SP.POP.TOTL,12581843
Bolivia,BOL,Number of infant deaths,SH.DTH.IMRT,..
Bolivia,BOL,Net migration,SM.POP.NETM,-3179
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.172
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.783
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.497
Bolivia,BOL,Age dependency ratio (% of working-age population),SP.POP.DPND,54.27424789
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1654565
Bosnia and Herzegovina,BIH,Rural population,SP.RUR.TOTL,1485530
